env_name,seed,problem,n_candidates,method,selected_index,uses_truth,validation_gate_method,selected_true_return,regret_to_candidate_oracle,candidate_oracle_return,regret_to_full_pool_oracle,full_pool_oracle_return,selected_pred_mean,selected_pred_std,sample_over_mean,selected_action_ood_mass,selected_is_cem,calibration_beta
InvertedPendulum-v5,0,3,8,quantile_bon,0,False,,1.0,6.0,7.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,8,calibrated_pessimistic_bon,0,False,,1.0,6.0,7.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,8,validation_gated_bon,0,False,calibrated_pessimistic_bon,1.0,6.0,7.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,8,cem_mean_mpc,-1,False,,4.0,3.0,7.0,14.0,18.0,-337.6700947928368,216.35721852931536,280.39229179807666,0.7,1.0,4.0
InvertedPendulum-v5,0,3,32,random,27,False,,1.0,8.0,9.0,17.0,18.0,-140065.68425940163,15904.070657114862,11368.055284162197,0.3,0.0,4.0
InvertedPendulum-v5,0,3,32,oracle,22,True,,9.0,0.0,9.0,9.0,18.0,-92764.06789776905,9483.24548154655,1061.993897990862,0.7,0.0,4.0
InvertedPendulum-v5,0,3,32,mean_bon,0,False,,1.0,8.0,9.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,32,posterior_sample_bon,0,False,,1.0,8.0,9.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,32,thompson_bon,0,False,,1.0,8.0,9.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,32,ucb_bon,0,False,,1.0,8.0,9.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,32,pessimistic_bon,0,False,,1.0,8.0,9.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,32,quantile_bon,0,False,,1.0,8.0,9.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,32,calibrated_pessimistic_bon,0,False,,1.0,8.0,9.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,32,validation_gated_bon,0,False,calibrated_pessimistic_bon,1.0,8.0,9.0,17.0,18.0,-15251.73670536431,2225.3046566263315,1566.4857916384317,0.275,0.0,4.0
InvertedPendulum-v5,0,3,32,cem_mean_mpc,-1,False,,4.0,5.0,9.0,14.0,18.0,-337.6700947928368,216.35721852931536,216.85073458534941,0.7,1.0,4.0
InvertedPendulum-v5,0,3,96,random,49,False,,4.0,14.0,18.0,14.0,18.0,-146778.03080936093,5097.382397239746,-4374.844582589867,0.625,0.0,4.0
InvertedPendulum-v5,0,3,96,oracle,50,True,,18.0,0.0,18.0,0.0,18.0,-10802.401500185202,326.78049723940956,203.04975484557326,0.275,0.0,4.0
InvertedPendulum-v5,0,3,96,mean_bon,45,False,,5.0,13.0,18.0,13.0,18.0,-359.61880030610087,264.999928976506,28.19140481706836,0.425,0.0,4.0
InvertedPendulum-v5,0,3,96,posterior_sample_bon,45,False,,5.0,13.0,18.0,13.0,18.0,-359.61880030610087,264.999928976506,28.19140481706836,0.425,0.0,4.0
InvertedPendulum-v5,0,3,96,thompson_bon,45,False,,5.0,13.0,18.0,13.0,18.0,-359.61880030610087,264.999928976506,28.19140481706836,0.425,0.0,4.0
InvertedPendulum-v5,0,3,96,ucb_bon,45,False,,5.0,13.0,18.0,13.0,18.0,-359.61880030610087,264.999928976506,28.19140481706836,0.425,0.0,4.0
InvertedPendulum-v5,0,3,96,pessimistic_bon,45,False,,5.0,13.0,18.0,13.0,18.0,-359.61880030610087,264.999928976506,28.19140481706836,0.425,0.0,4.0
InvertedPendulum-v5,0,3,96,quantile_bon,45,False,,5.0,13.0,18.0,13.0,18.0,-359.61880030610087,264.999928976506,28.19140481706836,0.425,0.0,4.0
InvertedPendulum-v5,0,3,96,calibrated_pessimistic_bon,45,False,,5.0,13.0,18.0,13.0,18.0,-359.61880030610087,264.999928976506,28.19140481706836,0.425,0.0,4.0
InvertedPendulum-v5,0,3,96,validation_gated_bon,45,False,calibrated_pessimistic_bon,5.0,13.0,18.0,13.0,18.0,-359.61880030610087,264.999928976506,28.19140481706836,0.425,0.0,4.0
InvertedPendulum-v5,0,3,96,cem_mean_mpc,-1,False,,4.0,14.0,18.0,14.0,18.0,-337.6700947928368,216.35721852931536,216.85073458534941,0.7,1.0,4.0
InvertedPendulum-v5,0,4,8,random,7,False,,3.0,0.0,3.0,14.0,17.0,-163419.865742815,18078.401592880713,3506.8643744286383,1.0,0.0,4.0
InvertedPendulum-v5,0,4,8,oracle,7,True,,3.0,0.0,3.0,14.0,17.0,-163419.865742815,18078.401592880713,3506.8643744286383,1.0,0.0,4.0
InvertedPendulum-v5,0,4,8,mean_bon,3,False,,1.0,2.0,3.0,16.0,17.0,-100792.30172379265,4327.717408794638,2343.8647390527913,0.6,0.0,4.0
InvertedPendulum-v5,0,4,8,posterior_sample_bon,3,False,,1.0,2.0,3.0,16.0,17.0,-100792.30172379265,4327.717408794638,2343.8647390527913,0.6,0.0,4.0
InvertedPendulum-v5,0,4,8,thompson_bon,3,False,,1.0,2.0,3.0,16.0,17.0,-100792.30172379265,4327.717408794638,2343.8647390527913,0.6,0.0,4.0
InvertedPendulum-v5,0,4,8,ucb_bon,3,False,,1.0,2.0,3.0,16.0,17.0,-100792.30172379265,4327.717408794638,2343.8647390527913,0.6,0.0,4.0
InvertedPendulum-v5,0,4,8,pessimistic_bon,3,False,,1.0,2.0,3.0,16.0,17.0,-100792.30172379265,4327.717408794638,2343.8647390527913,0.6,0.0,4.0
InvertedPendulum-v5,0,4,8,quantile_bon,3,False,,1.0,2.0,3.0,16.0,17.0,-100792.30172379265,4327.717408794638,2343.8647390527913,0.6,0.0,4.0
InvertedPendulum-v5,0,4,8,calibrated_pessimistic_bon,3,False,,1.0,2.0,3.0,16.0,17.0,-100792.30172379265,4327.717408794638,2343.8647390527913,0.6,0.0,4.0
InvertedPendulum-v5,0,4,8,validation_gated_bon,3,False,calibrated_pessimistic_bon,1.0,2.0,3.0,16.0,17.0,-100792.30172379265,4327.717408794638,2343.8647390527913,0.6,0.0,4.0
InvertedPendulum-v5,0,4,8,cem_mean_mpc,-1,False,,1.0,2.0,3.0,16.0,17.0,-870.6159859040686,574.1839839902811,-659.7392190965675,0.675,1.0,4.0
InvertedPendulum-v5,0,4,32,random,26,False,,1.0,9.0,10.0,16.0,17.0,-67438.59020764849,10759.141851748072,2801.8213008496386,0.675,0.0,4.0
InvertedPendulum-v5,0,4,32,oracle,16,True,,10.0,0.0,10.0,7.0,17.0,-57776.52281151948,7308.923591521132,3308.0019179617884,0.325,0.0,4.0
InvertedPendulum-v5,0,4,32,mean_bon,8,False,,2.0,8.0,10.0,15.0,17.0,-1229.9632484239269,524.8853212303711,-900.7510796073907,0.35,0.0,4.0
InvertedPendulum-v5,0,4,32,posterior_sample_bon,8,False,,2.0,8.0,10.0,15.0,17.0,-1229.9632484239269,524.8853212303711,-900.7510796073907,0.35,0.0,4.0
InvertedPendulum-v5,0,4,32,thompson_bon,8,False,,2.0,8.0,10.0,15.0,17.0,-1229.9632484239269,524.8853212303711,-900.7510796073907,0.35,0.0,4.0
